ID_Juego,Titulo,Plataforma,Genero,Publisher,Fecha_Lanzamiento,Ventas_NA_Millones,Ventas_EU_Millones,Ventas_JP_Millones,Ventas_Otros_Millones,Puntuacion_Critica,Puntuacion_Usuarios,Ventas_Globales_Millones,Anio_Lanzamiento,Mes_Lanzamiento,Trimestre
GME-00001,Shadow Quest,PS4,Shooter,Desconocido,2022-08-02,3.93,1.82,0.09,0.06,77,7.7,5.9,2022,8,3
GME-00002,Dark Wars,Xbox Series X,RPG,Ubisoft,2019-08-17,0.04,5.63,1.2,0.1,94,9.8,6.96,2019,8,3
GME-00003,Neon Legends,Xbox One,Estrategia,Nintendo,2019-02-21,0.49,0.8,0.64,0.09,63,6.1,2.02,2019,2,1
GME-00004,Cyber Chronicles,Nintendo Switch,Aventura,Take-Two,2023-02-27,0.41,0.43,0.6,0.36,55,5.6,1.79,2023,2,1
GME-00005,Iron Rising,Nintendo Switch,RPG,Microsoft,2020-07-17,1.37,0.06,1.19,0.06,71,6.4,2.67,2020,7,3
GME-00006,Star Odyssey,Mobile,Shooter,Sony,2020-05-16,2.71,0.91,0.06,0.18,61,6.0,3.86,2020,5,2
GME-00007,Blood Arena,Xbox Series X,Accion,Activision,2020-04-02,0.66,1.04,0.47,0.07,82,7.6,2.23,2020,4,2
GME-00008,Crystal Frontier,Mobile,Deportes,Microsoft,2019-10-13,0.19,0.36,0.03,0.14,81,8.2,0.72,2019,10,4
GME-00009,Phantom Tactics,PS4,Deportes,Sony,2023-02-17,1.81,0.36,0.11,0.16,48,4.4,2.44,2023,2,1
GME-00010,Storm Horizon,Xbox One,Estrategia,Nintendo,2019-07-29,0.12,5.56,1.98,0.07,75,7.3,7.74,2019,7,3
GME-00011,Solar Saga,PS5,RPG,Square Enix,2022-10-17,3.24,0.14,0.27,0.05,85,9.0,3.69,2022,10,4
GME-00012,Frozen Legacy,PS4,Estrategia,Square Enix,2023-02-25,0.65,0.08,0.2,0.13,75,8.0,1.06,2023,2,1
GME-00013,Golden Fury,Xbox Series X,Puzzle,Take-Two,2022-01-21,3.84,0.9,0.07,0.44,82,8.9,5.26,2022,1,1
GME-00014,Lost Reborn,Nintendo Switch,RPG,Activision,2019-06-28,2.38,0.88,1.0,0.18,75,8.3,4.44,2019,6,2
GME-00015,Final Evolution,Xbox Series X,Accion,Sony,2022-04-24,0.58,0.87,1.21,0.09,71,7.0,2.75,2022,4,2
GME-00016,Hyper Worlds,Nintendo Switch,Aventura,Nintendo,2021-05-14,0.51,0.13,0.56,0.07,92,9.0,1.27,2021,5,2
GME-00017,Mega Strike,Nintendo Switch,Deportes,Sony,2019-03-07,2.92,0.3,3.34,0.28,84,8.5,6.83,2019,3,1
GME-00018,Ultra Assault,Mobile,Shooter,Sony,2019-03-03,0.59,0.85,0.72,0.5,59,5.8,2.67,2019,3,1
GME-00019,Chrono Dominion,Xbox Series X,Puzzle,Square Enix,2019-07-11,0.81,0.3,0.06,0.12,70,6.9,1.3,2019,7,3
GME-00020,Eternal Vanguard,Xbox One,Puzzle,Ubisoft,2020-03-23,1.06,1.41,0.22,1.03,68,7.0,3.72,2020,3,1
GME-00021,Mystic Blade,Xbox Series X,Simulacion,Take-Two,2020-04-21,0.3,0.03,0.28,0.12,41,4.1,0.72,2020,4,2
GME-00022,Savage Force,Mobile,Simulacion,Nintendo,2021-10-31,0.27,0.93,5.09,0.08,67,6.9,6.36,2021,10,4
GME-00023,Grand Protocol,Xbox One,Simulacion,Ubisoft,2022-05-17,0.51,1.95,0.29,0.37,87,9.1,3.11,2022,5,2
GME-00024,Epic Drift,PS4,Accion,Tencent,2019-02-24,0.16,2.44,0.22,0.07,79,9.0,2.88,2019,2,1
GME-00025,Wild Reign,PS4,Puzzle,EA,2022-02-23,1.73,0.02,0.37,0.08,71,6.9,2.2,2022,2,1
GME-00026,Rogue Nexus,Nintendo Switch,Deportes,Nintendo,2020-02-12,1.36,0.45,2.66,0.03,54,5.6,4.51,2020,2,1
GME-00027,Silent Forge,PS4,Simulacion,Tencent,2023-01-06,3.23,2.1,0.12,0.27,58,5.7,5.72,2023,1,1
